År;ink from;ink tom;gr avdrag
2025;645800;645900;161500
2025;646000;646100;161400
2025;646200;646200;161300
2025;646300;646400;161200
2025;646500;646600;161100
2025;646700;646700;161000
2025;646800;646900;160900
2025;647000;647000;160800
2025;647100;647200;160700
2025;647300;647400;160600
2025;647500;647500;160500
2025;647600;647700;160400
2025;647800;647800;160300
2025;647900;648000;160200
2025;648100;648200;160100
2025;648300;648300;160000
2025;648400;648500;159900
2025;648600;648600;159800
2025;648700;648800;159700
2025;648900;649000;159600
2025;649100;649100;159500
2025;649200;649300;159400
2025;649400;649500;159300
2025;649600;649600;159200
2025;649700;649800;159100
2025;649900;649900;159000
2025;650000;650100;158900
2025;650200;650300;158800
2025;650400;650400;158700
2025;650500;650600;158600
2025;650700;650700;158500
2025;650800;650900;158400
2025;651000;651100;158300
2025;651200;651200;158200
2025;651300;651400;158100
2025;651500;651600;158000
2025;651700;651700;157900
2025;651800;651900;157800
2025;652000;652000;157700
2025;652100;652200;157600
2025;652300;652400;157500
2025;652500;652500;157400
2025;652600;652700;157300
2025;652800;652800;157200
2025;652900;653000;157100
2025;653100;653200;157000
2025;653300;653300;156900
2025;653400;653500;156800
2025;653600;653600;156700
2025;653700;653800;156600
2025;653900;654000;156500
2025;654100;654100;156400
2025;654200;654300;156300
2025;654400;654500;156200
2025;654600;654600;156100
2025;654700;654800;156000
2025;654900;654900;155900
2025;655000;655100;155800
2025;655200;655300;155700
2025;655400;655400;155600
2025;655500;655600;155500
2025;655700;655700;155400
2025;655800;655900;155300
2025;656000;656100;155200
2025;656200;656200;155100
2025;656300;656400;155000
2025;656500;656600;154900
2025;656700;656700;154800
2025;656800;656900;154700
2025;657000;657000;154600
2025;657100;657200;154500
2025;657300;657400;154400
2025;657500;657500;154300
2025;657600;657700;154200
2025;657800;657800;154100
2025;657900;658000;154000
2025;658100;658200;153900
2025;658300;658300;153800
2025;658400;658500;153700
2025;658600;658600;153600
2025;658700;658800;153500
2025;658900;659000;153400
2025;659100;659100;153300
2025;659200;659300;153200
2025;659400;659500;153100
2025;659600;659600;153000
2025;659700;659800;152900
2025;659900;659900;152800
2025;660000;660100;152700
2025;660200;660300;152600
2025;660400;660400;152500
2025;660500;660600;152400
2025;660700;660700;152300
2025;660800;660900;152200
2025;661000;661100;152100
2025;661200;661200;152000
2025;661300;661400;151900
2025;661500;661600;151800
2025;661700;661700;151700
2025;661800;661900;151600
2025;662000;662000;151500
2025;662100;662200;151400
2025;662300;662400;151300
2025;662500;662500;151200
2025;662600;662700;151100
2025;662800;662800;151000
2025;662900;663000;150900
2025;663100;663200;150800
2025;663300;663300;150700
2025;663400;663500;150600
2025;663600;663600;150500
2025;663700;663800;150400
2025;663900;664000;150300
2025;664100;664100;150200
2025;664200;664300;150100
2025;664400;664500;150000
2025;664600;664600;149900
2025;664700;664800;149800
2025;664900;664900;149700
2025;665000;665100;149600
2025;665200;665300;149500
2025;665400;665400;149400
2025;665500;665600;149300
2025;665700;665700;149200
2025;665800;665900;149100
2025;666000;666100;149000
2025;666200;666200;148900
2025;666300;666400;148800
2025;666500;666600;148700
2025;666700;666700;148600
2025;666800;666900;148500
2025;667000;667000;148400
2025;667100;667200;148300
2025;667300;667400;148200
2025;667500;667500;148100
2025;667600;667700;148000
2025;667800;667800;147900
2025;667900;668000;147800
2025;668100;668200;147700
2025;668300;668300;147600
2025;668400;668500;147500
2025;668600;668600;147400
2025;668700;668800;147300
2025;668900;669000;147200
2025;669100;669100;147100
2025;669200;669300;147000
2025;669400;669500;146900
2025;669600;669600;146800
2025;669700;669800;146700
2025;669900;669900;146600
2025;670000;670100;146500
2025;670200;670300;146400
2025;670400;670400;146300
2025;670500;670600;146200
2025;670700;670700;146100
2025;670800;670900;146000
2025;671000;671100;145900
2025;671200;671200;145800
2025;671300;671400;145700
2025;671500;671600;145600
2025;671700;671700;145500
2025;671800;671900;145400
2025;672000;672000;145300
2025;672100;672200;145200
